"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R100","2019-09-22 00:00:00","1006.000","305.000","0.600","18.300","0.990","899.000","","0.000","-99.000","-99.000","-99.000","20.500","","17.900",""
"C0C700","2019-09-22 00:00:00","151.000","190.000","1.500","22.000","0.790","991.900","","26.500","-99.000","-99.000","-99.000","23.100","","18.900",""
"C0W130","2019-09-22 00:00:00","18.000","28.000","1.700","24.700","0.810","1005.700","","0.000","-99.000","-99.000","-99.000","28.500","","24.600",""
"C0F9R0","2019-09-22 00:00:00","20.000","68.000","3.600","24.000","0.880","1006.400","","0.000","8.700","56.000","","26.900","","22.000",""
"C0V660","2019-09-22 00:00:00","25.000","17.000","2.800","24.300","0.750","1005.900","","0.000","-99.000","-99.000","-99.000","29.200","","24.000",""
"C0G780","2019-09-22 00:00:00","27.000","38.000","2.700","24.700","0.690","1004.600","","0.000","-99.000","-99.000","-99.000","27.900","","22.700",""
"C0C590","2019-09-22 00:00:00","72.000","153.000","2.000","21.800","0.850","999.400","","35.500","-99.000","-99.000","-99.000","23.000","","18.900",""
"C0Z190","2019-09-22 00:00:00","62.000","139.000","2.100","23.900","0.990","999.800","","19.000","-99.000","-99.000","-99.000","28.400","","23.800",""
"C0I520","2019-09-22 00:00:00","3860.000","-99.000","-99.000","6.400","0.930","640.900","","-99.000","-99.000","-99.000","-99.000","8.700","","6.300",""
"C0E530","2019-09-22 00:00:00","341.000","64.000","2.200","19.500","0.940","969.700","","1.000","-99.000","-99.000","-99.000","26.000","","18.700",""
"C0M790","2019-09-22 00:00:00","15.000","63.000","1.700","23.800","0.710","1005.000","","0.000","-99.000","-99.000","-99.000","28.600","","22.700",""
"C0R130","2019-09-22 00:00:00","1040.000","87.000","0.700","18.000","0.990","893.000","","0.000","-99.000","-99.000","-99.000","21.900","","17.600",""
"C0AH30","2019-09-22 00:00:00","755.000","307.000","7.600","18.000","1.000","923.900","","116.500","12.900","298.000","","18.300","","16.500",""
"C0X170","2019-09-22 00:00:00","50.000","39.000","2.100","23.700","0.770","1001.600","","0.000","-99.000","-99.000","-99.000","28.400","","23.300",""
